event_id,timestamp,source_ip,destination_ip,username,event_type,protocol,source_country,destination_country,device_name,os,event_status,severity,failed_login_attempts,malware_detected,vulnerability_id,cvss_score,asset_name,department
EVT00017,2025-08-01 01:20:00,138.109.137.195,10.0.5.154,root,Brute Force,HTTPS,India,India,Device-95,Windows 10,Blocked,High,3,No,CVE-2024-2201,2.4,Firewall,Sales
EVT00018,2025-08-01 01:25:00,198.53.164.11,10.0.6.19,david,Brute Force,HTTP,India,India,Device-33,Windows 10,Success,Critical,19,No,CVE-2023-1234,0.8,Firewall,HR
EVT00019,2025-08-01 01:30:00,69.186.151.145,10.0.8.237,admin,Phishing Email,SSH,India,India,Device-71,Windows 11,Success,Low,0,No,CVE-2024-2201,0.1,WebServer,IT
EVT00020,2025-08-01 01:35:00,212.20.96.62,10.0.9.108,john,File Access,TCP,India,India,Device-116,Windows 11,Failed,Low,0,No,CVE-2024-1045,7.4,WebServer,Sales
EVT00021,2025-08-01 01:40:00,141.129.244.81,10.0.1.54,alex,File Access,HTTPS,India,India,Device-11,Windows 11,Success,Medium,0,No,CVE-2024-2201,7.3,HR-PC-01,Sales
EVT00022,2025-08-01 01:45:00,103.32.32.234,10.0.5.249,root,File Access,SSH,India,India,Device-29,Windows 10,Failed,Medium,0,No,CVE-2023-1234,6.6,HR-PC-01,HR
EVT00023,2025-08-01 01:50:00,79.101.126.93,10.0.1.210,alice,Port Scan,TCP,India,India,Device-193,Windows 10,Success,Low,0,No,CVE-2024-2201,9.4,Finance-PC-02,Finance
EVT00024,2025-08-01 01:55:00,48.162.155.63,10.0.5.26,root,Login Success,SMB,India,India,Device-149,Linux,Success,Medium,7,No,CVE-2024-1045,0.2,Database-01,Sales
EVT00025,2025-08-01 02:00:00,69.36.38.6,10.0.10.3,alice,Failed Login,HTTPS,India,India,Device-127,Windows 10,Failed,High,3,No,CVE-2024-2201,0.8,Database-01,HR
EVT00026,2025-08-01 02:05:00,211.163.156.28,10.0.8.214,root,Brute Force,HTTPS,India,India,Device-33,Windows 11,Failed,Critical,17,No,None,7.8,Firewall,HR
EVT00027,2025-08-01 02:10:00,138.80.24.183,10.0.10.64,alice,Brute Force,TCP,India,India,Device-175,Windows 10,Detected,High,17,No,CVE-2024-2201,5.4,Firewall,Sales
EVT00028,2025-08-01 02:15:00,215.173.87.67,10.0.7.7,alex,Login Success,SSH,India,India,Device-147,Windows 11,Success,Medium,11,No,CVE-2024-1045,5.9,Database-01,Finance
EVT00029,2025-08-01 02:20:00,103.88.45.60,10.0.7.2,john,Privilege Escalation,SMB,India,India,Device-82,Linux,Detected,High,0,No,CVE-2024-1045,2.4,Finance-PC-02,Sales
EVT00030,2025-08-01 02:25:00,87.140.112.13,10.0.1.196,root,Malware Detection,HTTPS,India,India,Device-41,Linux,Failed,Critical,0,Yes,CVE-2024-2201,3.0,HR-PC-01,Finance
EVT00031,2025-08-01 02:30:00,189.237.43.220,10.0.1.230,root,Brute Force,SMB,India,India,Device-147,Windows 10,Failed,Critical,4,No,CVE-2024-2201,4.3,Firewall,IT
EVT00032,2025-08-01 02:35:00,184.178.196.132,10.0.2.140,alex,USB Device Connected,TCP,India,India,Device-135,Windows 11,Blocked,Medium,0,No,None,2.7,WebServer,HR
EVT00033,2025-08-01 02:40:00,114.123.195.241,10.0.6.102,john,Phishing Email,HTTPS,India,India,Device-113,Windows 11,Detected,Low,0,No,CVE-2024-1045,1.2,Firewall,Sales
EVT00034,2025-08-01 02:45:00,170.151.142.64,10.0.6.192,root,Failed Login,TCP,India,India,Device-49,Linux,Detected,High,18,No,None,0.3,Firewall,HR
EVT00035,2025-08-01 02:50:00,73.75.102.70,10.0.4.150,alice,Privilege Escalation,SSH,India,India,Device-44,Linux,Blocked,High,0,No,CVE-2023-1234,4.2,WebServer,HR
EVT00036,2025-08-01 02:55:00,53.145.55.232,10.0.0.31,root,Phishing Email,TCP,India,India,Device-140,Windows 10,Failed,Medium,0,No,None,5.0,Firewall,Finance
EVT00037,2025-08-01 03:00:00,195.165.0.32,10.0.7.184,david,File Access,HTTPS,India,India,Device-79,Linux,Detected,Medium,0,No,CVE-2024-2201,7.8,Firewall,Sales
EVT00038,2025-08-01 03:05:00,166.193.195.53,10.0.8.1,alice,Failed Login,SMB,India,India,Device-185,Linux,Failed,High,14,No,CVE-2023-1234,9.4,HR-PC-01,HR
EVT00039,2025-08-01 03:10:00,93.1.199.149,10.0.6.249,david,USB Device Connected,HTTPS,India,India,Device-160,Linux,Success,Low,0,No,CVE-2023-1234,9.9,Database-01,Finance
EVT00040,2025-08-01 03:15:00,185.79.203.201,10.0.4.217,john,Login Success,TCP,India,India,Device-199,Linux,Success,Medium,11,No,CVE-2024-2201,8.0,Finance-PC-02,Finance
EVT00041,2025-08-01 03:20:00,67.248.86.120,10.0.8.12,alice,Brute Force,SMB,India,India,Device-26,Linux,Detected,High,2,No,CVE-2024-2201,0.7,Finance-PC-02,IT
EVT00042,2025-08-01 03:25:00,42.47.205.163,10.0.4.155,alice,Brute Force,HTTP,India,India,Device-136,Windows 11,Failed,Critical,10,No,CVE-2024-2201,0.7,Firewall,Finance
EVT00043,2025-08-01 03:30:00,44.152.138.92,10.0.9.190,john,USB Device Connected,SSH,India,India,Device-144,Windows 10,Failed,Low,0,No,CVE-2023-1234,7.9,Firewall,Finance
EVT00044,2025-08-01 03:35:00,157.125.15.219,10.0.9.104,alice,Malware Detection,SSH,India,India,Device-195,Windows 11,Blocked,High,0,Yes,CVE-2024-1045,0.7,Database-01,Sales
EVT00045,2025-08-01 03:40:00,156.134.235.135,10.0.2.36,john,Phishing Email,SSH,India,India,Device-93,Windows 10,Detected,Low,0,No,CVE-2024-1045,1.2,Database-01,Finance
EVT00046,2025-08-01 03:45:00,28.116.203.83,10.0.7.238,admin,Failed Login,HTTP,India,India,Device-12,Windows 11,Success,High,6,No,None,4.9,Firewall,Sales
EVT00047,2025-08-01 03:50:00,71.60.88.25,10.0.3.103,john,SQL Injection Attempt,SSH,India,India,Device-116,Windows 10,Failed,Critical,0,No,CVE-2024-1045,2.4,HR-PC-01,Sales
EVT00048,2025-08-01 03:55:00,55.231.132.85,10.0.7.152,admin,Port Scan,HTTP,India,India,Device-21,Windows 11,Success,Medium,0,No,None,8.6,HR-PC-01,Sales
EVT00049,2025-08-01 04:00:00,51.204.81.226,10.0.10.39,admin,Phishing Email,TCP,India,India,Device-100,Windows 11,Success,Medium,0,No,CVE-2023-1234,2.5,WebServer,Sales
EVT00050,2025-08-01 04:05:00,10.31.66.11,10.0.4.200,admin,Privilege Escalation,SSH,India,India,Device-24,Windows 11,Success,Critical,0,No,CVE-2023-1234,6.4,HR-PC-01,HR
EVT00051,2025-08-01 04:10:00,85.137.133.165,10.0.10.63,john,USB Device Connected,TCP,India,India,Device-151,Linux,Failed,Medium,0,No,CVE-2024-2201,4.3,Firewall,IT
EVT00052,2025-08-01 04:15:00,138.102.217.236,10.0.10.18,alex,SQL Injection Attempt,HTTPS,India,India,Device-191,Linux,Success,Critical,0,No,CVE-2024-2201,1.8,WebServer,HR
EVT00053,2025-08-01 04:20:00,219.219.22.14,10.0.10.24,root,Login Success,SSH,India,India,Device-129,Windows 10,Success,Low,10,No,None,1.3,WebServer,Sales
EVT00054,2025-08-01 04:25:00,196.228.12.189,10.0.8.70,admin,Brute Force,HTTPS,India,India,Device-84,Windows 11,Blocked,Critical,1,No,CVE-2023-1234,0.6,HR-PC-01,Finance
EVT00055,2025-08-01 04:30:00,98.59.155.25,10.0.6.216,john,Brute Force,SMB,India,India,Device-143,Windows 11,Blocked,High,10,No,CVE-2023-1234,9.6,Firewall,Sales
EVT00056,2025-08-01 04:35:00,34.229.15.230,10.0.4.191,john,Failed Login,HTTP,India,India,Device-95,Windows 10,Blocked,High,3,No,CVE-2023-1234,3.5,Firewall,IT
EVT00057,2025-08-01 04:40:00,209.160.213.77,10.0.5.91,alice,Login Success,HTTPS,India,India,Device-192,Linux,Success,Medium,16,No,None,1.5,HR-PC-01,Finance
EVT00058,2025-08-01 04:45:00,116.143.245.117,10.0.5.238,alex,Phishing Email,SSH,India,India,Device-21,Linux,Success,Low,0,No,CVE-2024-1045,0.5,Finance-PC-02,Finance
EVT00059,2025-08-01 04:50:00,192.173.185.254,10.0.10.95,david,Malware Detection,HTTPS,India,India,Device-119,Linux,Blocked,Critical,0,Yes,CVE-2024-1045,0.3,HR-PC-01,HR
EVT00060,2025-08-01 04:55:00,29.94.210.241,10.0.9.13,admin,Phishing Email,SMB,India,India,Device-175,Windows 10,Success,Low,0,No,CVE-2024-1045,2.6,Firewall,IT
EVT00061,2025-08-01 05:00:00,204.111.88.131,10.0.6.6,root,Failed Login,HTTPS,India,India,Device-125,Linux,Blocked,High,7,No,CVE-2024-1045,6.0,Database-01,Sales
EVT00062,2025-08-01 05:05:00,140.96.246.186,10.0.1.209,alice,USB Device Connected,SSH,India,India,Device-52,Windows 11,Detected,Medium,0,No,CVE-2023-1234,0.8,Firewall,Sales
EVT00063,2025-08-01 05:10:00,218.234.3.49,10.0.4.179,alex,Login Success,TCP,India,India,Device-139,Windows 11,Blocked,Medium,16,No,CVE-2024-2201,9.7,Firewall,Finance
EVT00064,2025-08-01 05:15:00,139.209.157.116,10.0.4.34,root,Port Scan,SSH,India,India,Device-151,Windows 11,Failed,Medium,0,No,CVE-2024-2201,6.4,Finance-PC-02,IT
EVT00065,2025-08-01 05:20:00,73.9.46.237,10.0.1.217,admin,SQL Injection Attempt,SSH,India,India,Device-69,Windows 10,Blocked,High,0,No,CVE-2024-2201,6.4,Finance-PC-02,Finance
EVT00066,2025-08-01 05:25:00,206.59.247.91,10.0.2.107,john,File Access,TCP,India,India,Device-45,Windows 10,Blocked,Medium,0,No,CVE-2024-1045,5.9,HR-PC-01,Sales
EVT00067,2025-08-01 05:30:00,74.215.140.111,10.0.5.199,david,Privilege Escalation,HTTP,India,India,Device-184,Windows 10,Detected,Critical,0,No,CVE-2023-1234,0.9,Database-01,HR
EVT00068,2025-08-01 05:35:00,7.52.129.40,10.0.7.199,admin,Brute Force,SSH,India,India,Device-167,Linux,Failed,High,0,No,None,4.3,WebServer,HR
EVT00069,2025-08-01 05:40:00,89.24.52.189,10.0.8.174,david,Port Scan,TCP,India,India,Device-68,Linux,Blocked,Medium,0,No,CVE-2024-1045,4.8,WebServer,HR
EVT00070,2025-08-01 05:45:00,222.199.63.172,10.0.7.76,alex,Failed Login,SMB,India,India,Device-128,Windows 10,Success,High,19,No,CVE-2023-1234,1.1,Finance-PC-02,HR
EVT00071,2025-08-01 05:50:00,107.147.252.163,10.0.8.234,john,Brute Force,SMB,India,India,Device-87,Windows 10,Success,Critical,0,No,CVE-2024-2201,9.3,HR-PC-01,IT
EVT00072,2025-08-01 05:55:00,77.51.117.131,10.0.4.70,alex,Port Scan,HTTP,India,India,Device-106,Windows 11,Failed,Medium,0,No,CVE-2024-2201,2.0,Firewall,IT
EVT00073,2025-08-01 06:00:00,106.138.143.123,10.0.4.69,david,Port Scan,HTTP,India,India,Device-128,Windows 10,Detected,Low,0,No,CVE-2024-1045,3.4,Firewall,HR
EVT00074,2025-08-01 06:05:00,137.76.29.130,10.0.5.136,alex,Phishing Email,HTTP,India,India,Device-166,Windows 11,Blocked,Medium,0,No,CVE-2023-1234,4.8,WebServer,HR
EVT00075,2025-08-01 06:10:00,58.45.25.145,10.0.2.176,admin,Brute Force,HTTP,India,India,Device-145,Windows 11,Blocked,Critical,13,No,CVE-2024-2201,0.0,WebServer,Finance
EVT00076,2025-08-01 06:15:00,22.114.143.175,10.0.10.253,alice,Phishing Email,HTTPS,India,India,Device-154,Linux,Detected,Low,0,No,None,1.2,HR-PC-01,HR
EVT00077,2025-08-01 06:20:00,65.73.21.89,10.0.1.24,alex,Failed Login,TCP,India,India,Device-77,Windows 10,Failed,High,8,No,None,3.6,WebServer,HR
EVT00078,2025-08-01 06:25:00,185.123.48.174,10.0.5.71,admin,File Access,SMB,India,India,Device-83,Windows 11,Blocked,Medium,0,No,CVE-2024-1045,6.1,HR-PC-01,Sales
EVT00079,2025-08-01 06:30:00,174.243.214.138,10.0.6.78,john,Failed Login,HTTPS,India,India,Device-141,Windows 11,Success,High,19,No,None,1.8,Database-01,Sales
EVT00080,2025-08-01 06:35:00,65.138.134.122,10.0.2.104,alex,Privilege Escalation,TCP,India,India,Device-191,Windows 10,Success,Critical,0,No,CVE-2024-2201,5.4,Firewall,IT
EVT00081,2025-08-01 06:40:00,115.67.79.20,10.0.9.37,alex,Phishing Email,HTTP,India,India,Device-124,Windows 10,Blocked,Medium,0,No,CVE-2024-2201,1.6,Finance-PC-02,Sales
EVT00082,2025-08-01 06:45:00,154.74.138.76,10.0.10.176,alex,File Access,SMB,India,India,Device-3,Linux,Success,Low,0,No,CVE-2024-1045,3.8,Firewall,IT
EVT00083,2025-08-01 06:50:00,200.221.216.71,10.0.5.105,david,USB Device Connected,SMB,India,India,Device-119,Windows 11,Success,Low,0,No,CVE-2023-1234,7.8,WebServer,IT
EVT00084,2025-08-01 06:55:00,151.71.182.142,10.0.4.201,root,Failed Login,HTTPS,India,India,Device-122,Linux,Failed,High,19,No,CVE-2024-1045,1.1,HR-PC-01,HR
EVT00085,2025-08-01 07:00:00,199.20.160.109,10.0.5.65,alex,Failed Login,TCP,India,India,Device-158,Windows 10,Detected,High,12,No,CVE-2024-2201,2.9,HR-PC-01,Sales
EVT00086,2025-08-01 07:05:00,133.73.28.88,10.0.10.30,root,Malware Detection,HTTP,India,India,Device-140,Linux,Detected,Critical,0,Yes,CVE-2024-2201,7.6,WebServer,IT
EVT00087,2025-08-01 07:10:00,99.89.203.184,10.0.3.26,john,USB Device Connected,HTTPS,India,India,Device-85,Linux,Failed,Low,0,No,CVE-2023-1234,7.4,HR-PC-01,Sales
EVT00088,2025-08-01 07:15:00,103.61.249.238,10.0.4.215,john,Malware Detection,HTTP,India,India,Device-4,Windows 10,Detected,High,0,Yes,None,8.0,WebServer,HR
EVT00089,2025-08-01 07:20:00,171.147.79.40,10.0.8.212,admin,USB Device Connected,HTTPS,India,India,Device-5,Windows 10,Detected,Medium,0,No,CVE-2024-1045,5.4,Finance-PC-02,IT
EVT00090,2025-08-01 07:25:00,109.81.91.88,10.0.10.62,admin,Port Scan,SMB,India,India,Device-143,Windows 11,Failed,Low,0,No,CVE-2023-1234,5.9,Firewall,HR
EVT00091,2025-08-01 07:30:00,204.20.97.180,10.0.8.177,root,File Access,SMB,India,India,Device-20,Windows 11,Detected,Low,0,No,CVE-2023-1234,1.2,WebServer,Sales
EVT00092,2025-08-01 07:35:00,144.48.245.12,10.0.8.62,admin,Failed Login,TCP,India,India,Device-80,Windows 10,Blocked,High,13,No,CVE-2024-1045,5.9,Firewall,Finance
EVT00093,2025-08-01 07:40:00,129.213.85.179,10.0.6.179,david,Port Scan,HTTP,India,India,Device-127,Windows 10,Blocked,Medium,0,No,CVE-2024-1045,2.6,HR-PC-01,HR
EVT00094,2025-08-01 07:45:00,188.184.172.238,10.0.2.67,alice,Phishing Email,HTTPS,India,India,Device-90,Windows 10,Blocked,Low,0,No,CVE-2023-1234,0.1,Database-01,Finance
EVT00095,2025-08-01 07:50:00,206.101.219.184,10.0.3.148,john,Malware Detection,SMB,India,India,Device-118,Windows 10,Failed,High,0,Yes,None,6.3,WebServer,HR
EVT00096,2025-08-01 07:55:00,192.207.195.107,10.0.10.36,root,Login Success,SMB,India,India,Device-34,Linux,Success,Low,7,No,CVE-2023-1234,1.4,Database-01,Sales
EVT00097,2025-08-01 08:00:00,46.115.152.182,10.0.2.90,david,SQL Injection Attempt,SMB,India,India,Device-75,Windows 11,Blocked,Critical,0,No,CVE-2024-1045,7.1,WebServer,Finance
EVT00098,2025-08-01 08:05:00,158.190.227.66,10.0.9.15,admin,Phishing Email,HTTPS,India,India,Device-41,Windows 11,Success,Low,0,No,None,8.5,Firewall,HR
EVT00099,2025-08-01 08:10:00,102.62.108.210,10.0.6.170,root,Malware Detection,HTTP,India,India,Device-184,Linux,Blocked,Critical,0,Yes,None,7.2,Database-01,Sales
EVT00100,2025-08-01 08:15:00,69.19.85.172,10.0.10.236,root,USB Device Connected,SMB,India,India,Device-60,Windows 10,Blocked,Low,0,No,CVE-2023-1234,4.0,Finance-PC-02,IT
EVT00101,2025-08-01 08:20:00,5.232.22.126,10.0.3.101,alex,Brute Force,SMB,India,India,Device-87,Windows 11,Success,High,2,No,None,8.5,Finance-PC-02,HR
EVT00102,2025-08-01 08:25:00,49.197.184.51,10.0.3.93,alex,Brute Force,SMB,India,India,Device-194,Windows 11,Blocked,Critical,1,No,CVE-2023-1234,0.4,Firewall,HR
EVT00103,2025-08-01 08:30:00,74.240.22.150,10.0.8.17,root,Brute Force,SSH,India,India,Device-24,Windows 10,Blocked,Critical,12,No,CVE-2024-2201,9.1,Finance-PC-02,IT
EVT00104,2025-08-01 08:35:00,5.218.155.151,10.0.5.204,john,Port Scan,SMB,India,India,Device-151,Linux,Blocked,Medium,0,No,None,8.7,HR-PC-01,Sales
EVT00105,2025-08-01 08:40:00,148.58.18.147,10.0.8.4,admin,File Access,HTTPS,India,India,Device-87,Windows 10,Success,Low,0,No,CVE-2024-2201,5.8,Finance-PC-02,IT
EVT00106,2025-08-01 08:45:00,86.1.82.233,10.0.5.93,john,Port Scan,HTTP,India,India,Device-149,Windows 11,Success,Medium,0,No,CVE-2023-1234,3.2,Firewall,Sales
EVT00107,2025-08-01 08:50:00,219.133.188.10,10.0.1.197,alex,SQL Injection Attempt,HTTP,India,India,Device-68,Windows 10,Blocked,Critical,0,No,None,0.7,Database-01,Finance
EVT00108,2025-08-01 08:55:00,33.144.134.61,10.0.3.26,alice,File Access,SSH,India,India,Device-13,Linux,Blocked,Low,0,No,CVE-2024-1045,8.2,WebServer,Finance
EVT00109,2025-08-01 09:00:00,221.68.18.114,10.0.5.205,alex,SQL Injection Attempt,TCP,India,India,Device-8,Windows 10,Detected,Critical,0,No,CVE-2024-1045,8.9,WebServer,Sales
EVT00110,2025-08-01 09:05:00,51.119.58.151,10.0.2.250,root,Brute Force,SMB,India,India,Device-32,Linux,Blocked,Critical,14,No,CVE-2024-1045,7.8,HR-PC-01,Sales
EVT00111,2025-08-01 09:10:00,158.181.112.237,10.0.10.3,admin,SQL Injection Attempt,SSH,India,India,Device-9,Windows 11,Blocked,Critical,0,No,None,0.1,WebServer,HR
EVT00112,2025-08-01 09:15:00,54.226.147.63,10.0.7.130,alice,Login Success,HTTPS,India,India,Device-101,Linux,Success,Low,6,No,CVE-2024-1045,1.9,Firewall,Finance
EVT00113,2025-08-01 09:20:00,158.242.186.6,10.0.7.6,admin,Phishing Email,SMB,India,India,Device-171,Linux,Detected,Medium,0,No,CVE-2024-2201,3.4,Finance-PC-02,HR
EVT00114,2025-08-01 09:25:00,216.244.230.155,10.0.7.43,alice,Port Scan,SMB,India,India,Device-78,Linux,Detected,Medium,0,No,CVE-2024-2201,2.6,WebServer,IT
EVT00115,2025-08-01 09:30:00,92.118.227.54,10.0.7.237,alice,USB Device Connected,HTTP,India,India,Device-99,Windows 10,Success,Medium,0,No,None,3.6,WebServer,Finance
EVT00116,2025-08-01 09:35:00,79.193.7.84,10.0.5.80,root,Port Scan,TCP,India,India,Device-54,Linux,Success,Low,0,No,CVE-2024-2201,1.2,WebServer,HR
EVT00117,2025-08-01 09:40:00,156.174.119.7,10.0.10.180,alex,Privilege Escalation,HTTP,India,India,Device-194,Linux,Blocked,Critical,0,No,CVE-2024-2201,2.9,Finance-PC-02,Sales
EVT00118,2025-08-01 09:45:00,51.208.118.156,10.0.0.159,john,Failed Login,HTTP,India,India,Device-63,Linux,Detected,High,12,No,CVE-2024-1045,6.2,HR-PC-01,Finance
EVT00119,2025-08-01 09:50:00,114.254.87.173,10.0.2.8,alice,Login Success,SSH,India,India,Device-142,Windows 10,Detected,Medium,10,No,None,5.8,HR-PC-01,Finance
EVT00120,2025-08-01 09:55:00,216.159.44.164,10.0.7.30,root,File Access,HTTP,India,India,Device-156,Linux,Blocked,Low,0,No,CVE-2023-1234,3.7,Database-01,IT
EVT00121,2025-08-01 10:00:00,153.83.66.75,10.0.0.251,admin,Failed Login,HTTP,India,India,Device-1,Linux,Success,High,13,No,None,0.7,WebServer,IT
EVT00122,2025-08-01 10:05:00,86.9.4.144,10.0.3.121,john,Port Scan,HTTPS,India,India,Device-76,Linux,Blocked,Medium,0,No,CVE-2024-1045,1.8,Finance-PC-02,IT
EVT00123,2025-08-01 10:10:00,180.231.18.85,10.0.5.105,admin,Malware Detection,TCP,India,India,Device-145,Windows 11,Success,Critical,0,Yes,CVE-2024-1045,2.2,Database-01,Finance
EVT00124,2025-08-01 10:15:00,16.160.74.17,10.0.7.39,john,Failed Login,TCP,India,India,Device-192,Windows 10,Blocked,High,1,No,None,4.4,Database-01,HR
EVT00125,2025-08-01 10:20:00,15.103.27.192,10.0.1.23,alex,Failed Login,HTTP,India,India,Device-74,Linux,Blocked,High,16,No,CVE-2023-1234,8.7,WebServer,Finance
EVT00126,2025-08-01 10:25:00,92.232.195.222,10.0.10.99,admin,Malware Detection,SSH,India,India,Device-63,Windows 10,Blocked,High,0,Yes,CVE-2024-1045,6.0,WebServer,HR
EVT00127,2025-08-01 10:30:00,198.223.141.137,10.0.4.236,alice,Failed Login,HTTPS,India,India,Device-105,Windows 10,Blocked,High,11,No,CVE-2024-2201,4.0,Finance-PC-02,IT
EVT00128,2025-08-01 10:35:00,44.154.64.224,10.0.8.183,alex,SQL Injection Attempt,HTTP,India,India,Device-43,Windows 10,Failed,High,0,No,CVE-2024-1045,1.6,Firewall,Finance
EVT00129,2025-08-01 10:40:00,81.87.141.220,10.0.7.80,admin,Malware Detection,SSH,India,India,Device-40,Linux,Blocked,High,0,Yes,CVE-2023-1234,9.2,Database-01,Finance
EVT00130,2025-08-01 10:45:00,176.95.245.137,10.0.0.253,admin,Failed Login,HTTP,India,India,Device-167,Windows 10,Blocked,High,16,No,CVE-2024-2201,8.6,Firewall,Finance
EVT00131,2025-08-01 10:50:00,48.192.16.251,10.0.4.227,root,SQL Injection Attempt,HTTP,India,India,Device-16,Windows 11,Blocked,Critical,0,No,CVE-2024-2201,5.6,Database-01,Finance
EVT00132,2025-08-01 10:55:00,75.3.100.25,10.0.2.58,alice,Login Success,SMB,India,India,Device-69,Windows 11,Failed,Low,7,No,None,3.1,Firewall,Sales
EVT00133,2025-08-01 11:00:00,47.182.100.111,10.0.1.71,john,USB Device Connected,HTTP,India,India,Device-196,Windows 11,Failed,Medium,0,No,CVE-2024-1045,0.2,Finance-PC-02,Finance
EVT00134,2025-08-01 11:05:00,93.42.121.174,10.0.3.23,david,Brute Force,HTTP,India,India,Device-155,Windows 10,Failed,High,18,No,None,2.2,Finance-PC-02,IT
EVT00135,2025-08-01 11:10:00,128.178.69.125,10.0.1.131,alice,Login Success,SMB,India,India,Device-172,Windows 10,Blocked,Medium,18,No,None,4.8,Finance-PC-02,IT
EVT00136,2025-08-01 11:15:00,169.165.9.254,10.0.2.233,alice,Privilege Escalation,HTTP,India,India,Device-81,Windows 10,Blocked,High,0,No,CVE-2024-2201,9.5,Finance-PC-02,IT
EVT00137,2025-08-01 11:20:00,75.24.59.111,10.0.6.238,root,Privilege Escalation,HTTP,India,India,Device-72,Windows 10,Detected,High,0,No,CVE-2024-2201,6.1,Database-01,Finance
EVT00138,2025-08-01 11:25:00,102.182.98.102,10.0.7.39,david,Brute Force,HTTP,India,India,Device-10,Linux,Failed,High,2,No,None,0.4,Firewall,Sales
EVT00139,2025-08-01 11:30:00,180.167.87.145,10.0.7.102,admin,Phishing Email,SSH,India,India,Device-142,Linux,Detected,Medium,0,No,CVE-2024-1045,5.9,HR-PC-01,IT
EVT00140,2025-08-01 11:35:00,113.121.155.218,10.0.1.114,alice,SQL Injection Attempt,HTTP,India,India,Device-42,Windows 11,Detected,Critical,0,No,None,9.5,Firewall,Finance
EVT00141,2025-08-01 11:40:00,123.4.119.227,10.0.9.16,david,Brute Force,HTTP,India,India,Device-131,Windows 11,Detected,Critical,14,No,None,3.1,Database-01,HR
EVT00142,2025-08-01 11:45:00,207.157.119.142,10.0.6.120,david,SQL Injection Attempt,SMB,India,India,Device-142,Windows 10,Failed,High,0,No,CVE-2024-2201,5.9,Database-01,Finance
EVT00143,2025-08-01 11:50:00,209.174.60.109,10.0.6.183,alex,Brute Force,SMB,India,India,Device-189,Windows 11,Detected,Critical,14,No,CVE-2023-1234,3.6,Database-01,IT
