event_id,timestamp,source_ip,destination_ip,username,event_type,protocol,source_country,destination_country,device_name,os,event_status,severity,failed_login_attempts,malware_detected,vulnerability_id,cvss_score,asset_name,department,event_text,technique_id,technique_name,tactic
EVT00094,2025-08-01 07:45:00,188.184.172.238,10.0.2.67,alice,phishing email,HTTPS,India,India,Device-90,Windows 10,Blocked,Low,0,No,CVE-2023-1234,0.1,Database-01,Finance,phishing email blocked low,,,
EVT00095,2025-08-01 07:50:00,206.101.219.184,10.0.3.148,john,malware detection,SMB,India,India,Device-118,Windows 10,Failed,High,0,Yes,,6.3,WebServer,HR,malware detection failed high,T1110,Brute Force,Credential Access
EVT00096,2025-08-01 07:55:00,192.207.195.107,10.0.10.36,root,login success,SMB,India,India,Device-34,Linux,Success,Low,7,No,CVE-2023-1234,1.4,Database-01,Sales,login success success low,T1110,Brute Force,Credential Access
EVT00097,2025-08-01 08:00:00,46.115.152.182,10.0.2.90,david,sql injection attempt,SMB,India,India,Device-75,Windows 11,Blocked,Critical,0,No,CVE-2024-1045,7.1,WebServer,Finance,sql injection attempt blocked critical,,,
EVT00098,2025-08-01 08:05:00,158.190.227.66,10.0.9.15,admin,phishing email,HTTPS,India,India,Device-41,Windows 11,Success,Low,0,No,,8.5,Firewall,HR,phishing email success low,,,
EVT00099,2025-08-01 08:10:00,102.62.108.210,10.0.6.170,root,malware detection,HTTP,India,India,Device-184,Linux,Blocked,Critical,0,Yes,,7.2,Database-01,Sales,malware detection blocked critical,,,
EVT00100,2025-08-01 08:15:00,69.19.85.172,10.0.10.236,root,usb device connected,SMB,India,India,Device-60,Windows 10,Blocked,Low,0,No,CVE-2023-1234,4.0,Finance-PC-02,IT,usb device connected blocked low,,,
EVT00101,2025-08-01 08:20:00,5.232.22.126,10.0.3.101,alex,brute force,SMB,India,India,Device-87,Windows 11,Success,High,2,No,,8.5,Finance-PC-02,HR,brute force success high,,,
EVT00102,2025-08-01 08:25:00,49.197.184.51,10.0.3.93,alex,brute force,SMB,India,India,Device-194,Windows 11,Blocked,Critical,1,No,CVE-2023-1234,0.4,Firewall,HR,brute force blocked critical,,,
EVT00103,2025-08-01 08:30:00,74.240.22.150,10.0.8.17,root,brute force,SSH,India,India,Device-24,Windows 10,Blocked,Critical,12,No,CVE-2024-2201,9.1,Finance-PC-02,IT,brute force blocked critical,,,
EVT00104,2025-08-01 08:35:00,5.218.155.151,10.0.5.204,john,port scan,SMB,India,India,Device-151,Linux,Blocked,Medium,0,No,,8.7,HR-PC-01,Sales,port scan blocked medium,,,
EVT00105,2025-08-01 08:40:00,148.58.18.147,10.0.8.4,admin,file access,HTTPS,India,India,Device-87,Windows 10,Success,Low,0,No,CVE-2024-2201,5.8,Finance-PC-02,IT,file access success low,,,
EVT00106,2025-08-01 08:45:00,86.1.82.233,10.0.5.93,john,port scan,HTTP,India,India,Device-149,Windows 11,Success,Medium,0,No,CVE-2023-1234,3.2,Firewall,Sales,port scan success medium,,,
EVT00107,2025-08-01 08:50:00,219.133.188.10,10.0.1.197,alex,sql injection attempt,HTTP,India,India,Device-68,Windows 10,Blocked,Critical,0,No,,0.7,Database-01,Finance,sql injection attempt blocked critical,,,
EVT00108,2025-08-01 08:55:00,33.144.134.61,10.0.3.26,alice,file access,SSH,India,India,Device-13,Linux,Blocked,Low,0,No,CVE-2024-1045,8.2,WebServer,Finance,file access blocked low,,,
EVT00109,2025-08-01 09:00:00,221.68.18.114,10.0.5.205,alex,sql injection attempt,TCP,India,India,Device-8,Windows 10,Detected,Critical,0,No,CVE-2024-1045,8.9,WebServer,Sales,sql injection attempt detected critical,,,
EVT00110,2025-08-01 09:05:00,51.119.58.151,10.0.2.250,root,brute force,SMB,India,India,Device-32,Linux,Blocked,Critical,14,No,CVE-2024-1045,7.8,HR-PC-01,Sales,brute force blocked critical,,,
EVT00111,2025-08-01 09:10:00,158.181.112.237,10.0.10.3,admin,sql injection attempt,SSH,India,India,Device-9,Windows 11,Blocked,Critical,0,No,,0.1,WebServer,HR,sql injection attempt blocked critical,,,
EVT00112,2025-08-01 09:15:00,54.226.147.63,10.0.7.130,alice,login success,HTTPS,India,India,Device-101,Linux,Success,Low,6,No,CVE-2024-1045,1.9,Firewall,Finance,login success success low,T1110,Brute Force,Credential Access
EVT00113,2025-08-01 09:20:00,158.242.186.6,10.0.7.6,admin,phishing email,SMB,India,India,Device-171,Linux,Detected,Medium,0,No,CVE-2024-2201,3.4,Finance-PC-02,HR,phishing email detected medium,,,
EVT00114,2025-08-01 09:25:00,216.244.230.155,10.0.7.43,alice,port scan,SMB,India,India,Device-78,Linux,Detected,Medium,0,No,CVE-2024-2201,2.6,WebServer,IT,port scan detected medium,,,
EVT00115,2025-08-01 09:30:00,92.118.227.54,10.0.7.237,alice,usb device connected,HTTP,India,India,Device-99,Windows 10,Success,Medium,0,No,,3.6,WebServer,Finance,usb device connected success medium,,,
EVT00116,2025-08-01 09:35:00,79.193.7.84,10.0.5.80,root,port scan,TCP,India,India,Device-54,Linux,Success,Low,0,No,CVE-2024-2201,1.2,WebServer,HR,port scan success low,,,
EVT00117,2025-08-01 09:40:00,156.174.119.7,10.0.10.180,alex,privilege escalation,HTTP,India,India,Device-194,Linux,Blocked,Critical,0,No,CVE-2024-2201,2.9,Finance-PC-02,Sales,privilege escalation blocked critical,,,
EVT00118,2025-08-01 09:45:00,51.208.118.156,10.0.0.159,john,failed login,HTTP,India,India,Device-63,Linux,Detected,High,12,No,CVE-2024-1045,6.2,HR-PC-01,Finance,failed login detected high,T1110,Brute Force,Credential Access
EVT00119,2025-08-01 09:50:00,114.254.87.173,10.0.2.8,alice,login success,SSH,India,India,Device-142,Windows 10,Detected,Medium,10,No,,5.8,HR-PC-01,Finance,login success detected medium,T1110,Brute Force,Credential Access
EVT00120,2025-08-01 09:55:00,216.159.44.164,10.0.7.30,root,file access,HTTP,India,India,Device-156,Linux,Blocked,Low,0,No,CVE-2023-1234,3.7,Database-01,IT,file access blocked low,,,
EVT00121,2025-08-01 10:00:00,153.83.66.75,10.0.0.251,admin,failed login,HTTP,India,India,Device-1,Linux,Success,High,13,No,,0.7,WebServer,IT,failed login success high,T1110,Brute Force,Credential Access
EVT00122,2025-08-01 10:05:00,86.9.4.144,10.0.3.121,john,port scan,HTTPS,India,India,Device-76,Linux,Blocked,Medium,0,No,CVE-2024-1045,1.8,Finance-PC-02,IT,port scan blocked medium,,,
EVT00123,2025-08-01 10:10:00,180.231.18.85,10.0.5.105,admin,malware detection,TCP,India,India,Device-145,Windows 11,Success,Critical,0,Yes,CVE-2024-1045,2.2,Database-01,Finance,malware detection success critical,,,
EVT00124,2025-08-01 10:15:00,16.160.74.17,10.0.7.39,john,failed login,TCP,India,India,Device-192,Windows 10,Blocked,High,1,No,,4.4,Database-01,HR,failed login blocked high,T1110,Brute Force,Credential Access
EVT00125,2025-08-01 10:20:00,15.103.27.192,10.0.1.23,alex,failed login,HTTP,India,India,Device-74,Linux,Blocked,High,16,No,CVE-2023-1234,8.7,WebServer,Finance,failed login blocked high,T1110,Brute Force,Credential Access
