incident_id,correlation_id,event_ids,event_count,threat_type,risk_score,risk_class,priority,priority_rank,asset_id,asset_name,criticality,affected_user,source_ip,destination_ip,mitre_technique,technique_name,tactic,ioc_match,ioc_type,threat_actor,cvss_score,cve_id,status,created_at
INC-0013,CORR-0016,EVT00039|EVT00044,2,Malware Detection,72.75,High,High,2,AST005,Database-01,Critical,alice,157.125.15.219,10.0.9.104,nan,nan,nan,False,nan,nan,0.7,CVE-2024-1045,Open,2026-09-05T15:46:29.700851+00:00
INC-0014,CORR-0018,EVT00036|EVT00037|EVT00041|EVT00042|EVT00043,5,File Access,66.25,High,High,2,AST004,Firewall,Critical,david,195.165.0.32,10.0.7.184,nan,nan,nan,False,nan,nan,7.8,CVE-2024-2201,Open,2026-09-05T15:46:29.701852+00:00
INC-0015,CORR-0020,EVT00045|EVT00049|EVT00052|EVT00053,4,Phishing Email,61.5,High,High,2,AST005,Database-01,Critical,john,156.134.235.135,10.0.2.36,nan,nan,nan,False,nan,nan,1.2,CVE-2024-1045,Open,2026-09-05T15:46:29.701852+00:00
INC-0016,CORR-0021,EVT00046|EVT00051,2,USB Device Connected,58.75,Moderate,Moderate,3,AST004,Firewall,Critical,john,85.137.133.165,10.0.10.63,nan,nan,nan,False,nan,nan,4.3,CVE-2024-2201,Open,2026-09-05T15:46:29.701852+00:00
INC-0017,CORR-0022,EVT00048|EVT00050|EVT00054|EVT00055|EVT00057|EVT00059,6,Brute Force,64.85,High,High,2,AST004,Firewall,Critical,john,98.59.155.25,10.0.6.216,nan,nan,nan,False,nan,nan,9.6,CVE-2023-1234,Open,2026-09-05T15:46:29.702850+00:00
INC-0018,CORR-0024,EVT00061|EVT00067,2,Privilege Escalation,56.1,Moderate,Moderate,3,AST005,Database-01,Critical,david,74.215.140.111,10.0.5.199,nan,nan,nan,False,nan,nan,0.9,CVE-2023-1234,Open,2026-09-05T15:46:29.702850+00:00
INC-0019,CORR-0025,EVT00056|EVT00060|EVT00062|EVT00063,4,Login Success,73.75,High,High,2,AST004,Firewall,Critical,alex,218.234.3.49,10.0.4.179,nan,nan,nan,False,nan,nan,9.7,CVE-2024-2201,Open,2026-09-05T15:46:29.702850+00:00
INC-0020,CORR-0026,EVT00064|EVT00065|EVT00070,3,Failed Login,56.1,Moderate,Moderate,3,AST002,Finance-PC-02,High,alex,222.199.63.172,10.0.7.76,T1110,Brute Force,Credential Access,False,nan,nan,1.1,CVE-2023-1234,Open,2026-09-05T15:46:29.702850+00:00
INC-0021,CORR-0029,EVT00072|EVT00073,2,Port Scan,61.5,High,High,2,AST004,Firewall,Critical,david,106.138.143.123,10.0.4.69,nan,nan,nan,False,nan,nan,3.4,CVE-2024-1045,Open,2026-09-05T15:46:29.703850+00:00
INC-0022,CORR-0030,EVT00069|EVT00075,2,Brute Force,62.5,High,High,2,AST003,WebServer,High,admin,58.45.25.145,10.0.2.176,nan,nan,nan,False,nan,nan,0.0,CVE-2024-2201,Open,2026-09-05T15:46:29.703850+00:00
INC-0023,CORR-0031,EVT00071|EVT00074|EVT00076|EVT00078|EVT00081,5,Brute Force,58.75,Moderate,Moderate,3,AST001,HR-PC-01,Medium,john,107.147.252.163,10.0.8.234,nan,nan,nan,False,nan,nan,9.3,CVE-2024-2201,Open,2026-09-05T15:46:29.703850+00:00
INC-0024,CORR-0032,EVT00079|EVT00084|EVT00085,3,Failed Login,61.5,High,High,2,AST001,HR-PC-01,Medium,root,151.71.182.142,10.0.4.201,T1110,Brute Force,Credential Access,False,nan,nan,1.1,CVE-2024-1045,Open,2026-09-05T15:46:29.704850+00:00
INC-0025,CORR-0033,EVT00080|EVT00082,2,File Access,46.5,Moderate,Moderate,3,AST004,Firewall,Critical,alex,154.74.138.76,10.0.10.176,nan,nan,nan,False,nan,nan,3.8,CVE-2024-1045,Open,2026-09-05T15:46:29.704850+00:00
INC-0026,CORR-0034,EVT00077|EVT00083|EVT00087|EVT00089,4,USB Device Connected,57.75,Moderate,Moderate,3,AST002,Finance-PC-02,High,admin,171.147.79.40,10.0.8.212,nan,nan,nan,False,nan,nan,5.4,CVE-2024-1045,Open,2026-09-05T15:46:29.704850+00:00
INC-0027,CORR-0035,EVT00090|EVT00092|EVT00093,3,Failed Login,72.75,High,High,2,AST004,Firewall,Critical,admin,144.48.245.12,10.0.8.62,T1110,Brute Force,Credential Access,False,nan,nan,5.9,CVE-2024-1045,Open,2026-09-05T15:46:29.705852+00:00
INC-0028,CORR-0036,EVT00086|EVT00088|EVT00091|EVT00095|EVT00097,5,Malware Detection,67.5,High,High,2,AST003,WebServer,High,root,133.73.28.88,10.0.10.30,nan,nan,nan,False,nan,nan,7.6,CVE-2024-2201,Open,2026-09-05T15:46:29.705852+00:00
INC-0029,CORR-0037,EVT00094|EVT00096|EVT00099,3,Malware Detection,57.5,Moderate,Moderate,3,AST005,Database-01,Critical,root,102.62.108.210,10.0.6.170,nan,nan,nan,False,nan,nan,7.2,nan,Open,2026-09-05T15:46:29.705852+00:00
INC-0030,CORR-0039,EVT00098|EVT00101|EVT00102|EVT00103,4,Brute Force,68.75,High,High,2,AST002,Finance-PC-02,High,root,74.240.22.150,10.0.8.17,nan,nan,nan,False,nan,nan,9.1,CVE-2024-2201,Open,2026-09-05T15:46:29.705852+00:00
INC-0031,CORR-0040,EVT00104|EVT00110,2,Brute Force,65.25,High,High,2,AST001,HR-PC-01,Medium,root,51.119.58.151,10.0.2.250,nan,nan,nan,False,nan,nan,7.8,CVE-2024-1045,Open,2026-09-05T15:46:29.707215+00:00
INC-0032,CORR-0042,EVT00105|EVT00108,2,File Access,45.25,Moderate,Moderate,3,AST003,WebServer,High,alice,33.144.134.61,10.0.3.26,nan,nan,nan,False,nan,nan,8.2,CVE-2024-1045,Open,2026-09-05T15:46:29.707215+00:00
INC-0033,CORR-0043,EVT00106|EVT00112,2,Login Success,64.0,High,High,2,AST004,Firewall,Critical,alice,54.226.147.63,10.0.7.130,nan,nan,nan,False,nan,nan,1.9,CVE-2024-1045,Open,2026-09-05T15:46:29.707215+00:00
INC-0034,CORR-0045,EVT00109|EVT00111|EVT00114|EVT00115,4,SQL Injection Attempt,65.25,High,High,2,AST003,WebServer,High,alex,221.68.18.114,10.0.5.205,nan,nan,nan,False,nan,nan,8.9,CVE-2024-1045,Open,2026-09-05T15:46:29.707215+00:00
INC-0035,CORR-0046,EVT00118|EVT00119,2,Failed Login,62.75,High,High,2,AST001,HR-PC-01,Medium,john,51.208.118.156,10.0.0.159,T1110,Brute Force,Credential Access,False,nan,nan,6.2,CVE-2024-1045,Open,2026-09-05T15:46:29.708225+00:00
INC-0036,CORR-0048,EVT00116|EVT00117|EVT00122,3,Privilege Escalation,57.5,Moderate,Moderate,3,AST002,Finance-PC-02,High,alex,156.174.119.7,10.0.10.180,nan,nan,nan,False,nan,nan,2.9,CVE-2024-2201,Open,2026-09-05T15:46:29.708225+00:00
INC-0037,CORR-0049,EVT00121|EVT00125,2,Failed Login,59.85,Moderate,Moderate,3,AST003,WebServer,High,alex,15.103.27.192,10.0.1.23,T1110,Brute Force,Credential Access,False,nan,nan,8.7,CVE-2023-1234,Open,2026-09-05T15:46:29.708225+00:00
INC-0038,CORR-0050,EVT00128|EVT00130,2,Failed Login,71.25,High,High,2,AST004,Firewall,Critical,admin,176.95.245.137,10.0.0.253,T1110,Brute Force,Credential Access,False,nan,nan,8.6,CVE-2024-2201,Open,2026-09-05T15:46:29.709226+00:00
INC-0039,CORR-0051,EVT00123|EVT00124|EVT00126|EVT00129,4,Malware Detection,73.6,High,High,2,AST005,Database-01,Critical,admin,81.87.141.220,10.0.7.80,nan,nan,nan,False,nan,nan,9.2,CVE-2023-1234,Open,2026-09-05T15:46:29.709226+00:00
INC-0040,CORR-0052,EVT00127|EVT00133|EVT00135,3,Failed Login,63.75,High,High,2,AST002,Finance-PC-02,High,alice,198.223.141.137,10.0.4.236,T1110,Brute Force,Credential Access,False,nan,nan,4.0,CVE-2024-2201,Open,2026-09-05T15:46:29.709226+00:00
INC-0041,CORR-0053,EVT00131|EVT00136|EVT00137,3,SQL Injection Attempt,63.75,High,High,2,AST005,Database-01,Critical,root,48.192.16.251,10.0.4.227,nan,nan,nan,False,nan,nan,5.6,CVE-2024-2201,Open,2026-09-05T15:46:29.710224+00:00
INC-0042,CORR-0054,EVT00132|EVT00134|EVT00138|EVT00141|EVT00143|EVT00144,6,Brute Force,61.1,High,High,2,AST005,Database-01,Critical,alex,209.174.60.109,10.0.6.183,nan,nan,nan,False,nan,nan,3.6,CVE-2023-1234,Open,2026-09-05T15:46:29.710224+00:00
INC-0043,CORR-0056,EVT00140|EVT00142|EVT00146|EVT00147|EVT00150,5,SQL Injection Attempt,62.75,High,High,2,AST002,Finance-PC-02,High,david,27.198.27.192,10.0.7.72,nan,nan,nan,False,nan,nan,4.0,CVE-2024-1045,Open,2026-09-05T15:46:29.710224+00:00
INC-0044,CORR-0057,EVT00145|EVT00148|EVT00149|EVT00151,4,Failed Login,61.25,High,High,2,AST001,HR-PC-01,Medium,root,126.92.228.40,10.0.7.28,T1110,Brute Force,Credential Access,False,nan,nan,7.2,CVE-2024-2201,Open,2026-09-05T15:46:29.710224+00:00
INC-0045,CORR-0060,EVT00153|EVT00158,2,Brute Force,62.75,High,High,2,AST001,HR-PC-01,Medium,root,84.141.106.50,10.0.2.43,nan,nan,nan,False,nan,nan,4.3,CVE-2024-1045,Open,2026-09-05T15:46:29.711223+00:00
INC-0046,CORR-0061,EVT00156|EVT00157|EVT00159,3,SQL Injection Attempt,66.5,High,High,2,AST005,Database-01,Critical,root,193.196.210.112,10.0.5.248,nan,nan,nan,False,nan,nan,2.4,CVE-2024-1045,Open,2026-09-05T15:46:29.712077+00:00
INC-0047,CORR-0062,EVT00155|EVT00161,2,Malware Detection,67.75,High,High,2,AST003,WebServer,High,david,36.143.178.252,10.0.1.99,nan,nan,nan,False,nan,nan,2.1,CVE-2024-1045,Open,2026-09-05T15:46:29.712077+00:00
INC-0048,CORR-0063,EVT00160|EVT00162,2,Failed Login,57.35,Moderate,Moderate,3,AST002,Finance-PC-02,High,john,177.44.1.132,10.0.6.234,T1110,Brute Force,Credential Access,False,nan,nan,5.6,CVE-2023-1234,Open,2026-09-05T15:46:29.712584+00:00
INC-0049,CORR-0064,EVT00163|EVT00166,2,Phishing Email,53.75,Moderate,Moderate,3,AST002,Finance-PC-02,High,alice,71.244.224.57,10.0.4.233,nan,nan,nan,False,nan,nan,5.1,CVE-2024-2201,Open,2026-09-05T15:46:29.712584+00:00
INC-0050,CORR-0066,EVT00164|EVT00167|EVT00169|EVT00175,4,Privilege Escalation,61.5,High,High,2,AST003,WebServer,High,david,47.164.203.195,10.0.10.178,nan,nan,nan,False,nan,nan,3.1,CVE-2024-1045,Open,2026-09-05T15:46:29.713619+00:00
INC-0051,CORR-0067,EVT00165|EVT00170|EVT00173,3,Malware Detection,63.75,High,High,2,AST002,Finance-PC-02,High,john,9.219.212.91,10.0.5.131,nan,nan,nan,False,nan,nan,0.7,CVE-2024-2201,Open,2026-09-05T15:46:29.713619+00:00
INC-0052,CORR-0068,EVT00172|EVT00174|EVT00176,3,File Access,57.75,Moderate,Moderate,3,AST002,Finance-PC-02,High,admin,123.66.200.126,10.0.3.131,nan,nan,nan,False,nan,nan,6.7,CVE-2024-1045,Open,2026-09-05T15:46:29.713619+00:00
INC-0053,CORR-0069,EVT00171|EVT00177|EVT00179|EVT00180|EVT00182,5,Malware Detection,80.0,High,High,2,AST005,Database-01,Critical,root,40.195.54.123,10.0.10.188,nan,nan,nan,False,nan,nan,10.0,CVE-2024-2201,Open,2026-09-05T15:46:29.714618+00:00
INC-0054,CORR-0070,EVT00178|EVT00181|EVT00187,3,Port Scan,61.5,High,High,2,AST004,Firewall,Critical,david,183.234.5.154,10.0.2.118,nan,nan,nan,False,nan,nan,3.1,CVE-2024-1045,Open,2026-09-05T15:46:29.714618+00:00
INC-0055,CORR-0071,EVT00183|EVT00186,2,Malware Detection,68.6,High,High,2,AST003,WebServer,High,john,29.98.15.50,10.0.10.232,nan,nan,nan,False,nan,nan,9.8,CVE-2023-1234,Open,2026-09-05T15:46:29.714618+00:00
INC-0056,CORR-0073,EVT00184|EVT00185|EVT00190|EVT00191|EVT00192,5,Brute Force,62.5,High,High,2,AST004,Firewall,Critical,alex,111.159.226.187,10.0.3.126,nan,nan,nan,False,nan,nan,2.6,CVE-2024-2201,Open,2026-09-05T15:46:29.715618+00:00
INC-0057,CORR-0074,EVT00188|EVT00193,2,SQL Injection Attempt,52.35,Moderate,Moderate,3,AST003,WebServer,High,david,170.92.112.76,10.0.1.44,nan,nan,nan,False,nan,nan,6.6,CVE-2023-1234,Open,2026-09-05T15:46:29.715618+00:00
INC-0058,CORR-0075,EVT00194|EVT00195,2,Malware Detection,52.35,Moderate,Moderate,3,AST001,HR-PC-01,Medium,david,217.29.11.113,10.0.8.51,nan,nan,nan,False,nan,nan,0.4,CVE-2023-1234,Open,2026-09-05T15:46:29.715618+00:00
INC-0059,CORR-0076,EVT00196|EVT00197,2,USB Device Connected,63.75,High,High,2,AST002,Finance-PC-02,High,david,145.12.40.121,10.0.6.42,nan,nan,nan,False,nan,nan,9.9,CVE-2024-2201,Open,2026-09-05T15:46:29.716615+00:00
INC-0060,CORR-0077,EVT00199|EVT00201|EVT00204,3,USB Device Connected,56.5,Moderate,Moderate,3,AST003,WebServer,High,root,110.173.246.231,10.0.5.21,nan,nan,nan,False,nan,nan,0.9,CVE-2024-1045,Open,2026-09-05T15:46:29.716615+00:00
INC-0061,CORR-0078,EVT00198|EVT00202,2,SQL Injection Attempt,63.75,High,High,2,AST005,Database-01,Critical,root,18.162.90.38,10.0.10.30,nan,nan,nan,False,nan,nan,6.2,CVE-2024-2201,Open,2026-09-05T15:46:29.716615+00:00
INC-0062,CORR-0079,EVT00200|EVT00205,2,Brute Force,51.1,Moderate,Moderate,3,AST001,HR-PC-01,Medium,alice,185.235.205.183,10.0.8.131,nan,nan,nan,False,nan,nan,2.4,CVE-2023-1234,Open,2026-09-05T15:46:29.717618+00:00
INC-0063,CORR-0081,EVT00203|EVT00208,2,Privilege Escalation,46.25,Moderate,Moderate,3,AST002,Finance-PC-02,High,alex,157.210.85.202,10.0.9.121,nan,nan,nan,False,nan,nan,7.8,nan,Open,2026-09-05T15:46:29.717618+00:00
INC-0064,CORR-0082,EVT00207|EVT00209|EVT00212,3,Brute Force,54.85,Moderate,Moderate,3,AST001,HR-PC-01,Medium,root,117.201.64.129,10.0.10.21,nan,nan,nan,False,nan,nan,7.3,CVE-2023-1234,Open,2026-09-05T15:46:29.717618+00:00
INC-0065,CORR-0083,EVT00213|EVT00218,2,SQL Injection Attempt,53.75,Moderate,Moderate,3,AST005,Database-01,Critical,david,65.76.15.57,10.0.4.237,nan,nan,nan,False,nan,nan,9.1,nan,Open,2026-09-05T15:46:29.718618+00:00
INC-0066,CORR-0084,EVT00211|EVT00215,2,Port Scan,57.35,Moderate,Moderate,3,AST002,Finance-PC-02,High,alex,158.3.117.182,10.0.7.92,nan,nan,nan,False,nan,nan,9.0,CVE-2023-1234,Open,2026-09-05T15:46:29.718618+00:00
INC-0067,CORR-0085,EVT00210|EVT00214|EVT00216,3,Brute Force,69.0,High,High,2,AST004,Firewall,Critical,david,191.12.187.224,10.0.7.25,nan,nan,nan,False,nan,nan,3.3,CVE-2024-1045,Open,2026-09-05T15:46:29.718618+00:00
INC-0068,CORR-0088,EVT00219|EVT00223|EVT00227,3,Malware Detection,61.1,High,High,2,AST002,Finance-PC-02,High,alice,80.150.254.77,10.0.4.41,nan,nan,nan,False,nan,nan,8.8,CVE-2023-1234,Open,2026-09-05T15:46:29.719617+00:00
INC-0069,CORR-0089,EVT00221|EVT00224,2,Brute Force,59.85,Moderate,Moderate,3,AST004,Firewall,Critical,alice,99.20.47.150,10.0.3.249,nan,nan,nan,False,nan,nan,8.0,CVE-2023-1234,Open,2026-09-05T15:46:29.719617+00:00
INC-0070,CORR-0090,EVT00222|EVT00228|EVT00229,3,USB Device Connected,41.25,Moderate,Moderate,3,AST001,HR-PC-01,Medium,david,210.130.106.33,10.0.0.173,nan,nan,nan,False,nan,nan,7.3,nan,Open,2026-09-05T15:46:29.719617+00:00
INC-0071,CORR-0091,EVT00225|EVT00226|EVT00230|EVT00235,4,USB Device Connected,54.85,Moderate,Moderate,3,AST003,WebServer,High,alice,201.182.72.100,10.0.0.19,nan,nan,nan,False,nan,nan,8.6,CVE-2023-1234,Open,2026-09-05T15:46:29.719617+00:00
INC-0072,CORR-0092,EVT00231|EVT00232|EVT00233|EVT00234|EVT00236,5,Malware Detection,62.75,High,High,2,AST001,HR-PC-01,Medium,alice,6.53.111.71,10.0.2.189,nan,nan,nan,False,nan,nan,3.9,CVE-2024-1045,Open,2026-09-05T15:46:29.720907+00:00
INC-0073,CORR-0093,EVT00237|EVT00240,2,Failed Login,71.5,High,High,2,AST005,Database-01,Critical,david,187.82.172.234,10.0.5.146,T1110,Brute Force,Credential Access,False,nan,nan,1.1,CVE-2024-1045,Open,2026-09-05T15:46:29.720907+00:00
INC-0074,CORR-0094,EVT00238|EVT00243,2,SQL Injection Attempt,57.5,Moderate,Moderate,3,AST002,Finance-PC-02,High,root,47.26.24.254,10.0.5.221,nan,nan,nan,False,nan,nan,3.5,CVE-2024-2201,Open,2026-09-05T15:46:29.720907+00:00
INC-0075,CORR-0095,EVT00242|EVT00246,2,Brute Force,72.75,High,High,2,AST004,Firewall,Critical,root,121.221.113.238,10.0.2.142,nan,nan,nan,False,nan,nan,4.4,CVE-2024-1045,Open,2026-09-05T15:46:29.721909+00:00
INC-0076,CORR-0096,EVT00241|EVT00244|EVT00248,3,Malware Detection,70.0,High,High,2,AST001,HR-PC-01,Medium,root,175.77.125.231,10.0.3.157,nan,nan,nan,False,nan,nan,9.9,CVE-2024-2201,Open,2026-09-05T15:46:29.721909+00:00
INC-0077,CORR-0097,EVT00239|EVT00245,2,Login Success,72.75,High,High,2,AST005,Database-01,Critical,john,53.27.158.192,10.0.4.160,nan,nan,nan,False,nan,nan,6.5,CVE-2024-1045,Open,2026-09-05T15:46:29.721909+00:00
INC-0078,CORR-0098,EVT00249|EVT00251|EVT00252,3,SQL Injection Attempt,68.75,High,High,2,AST005,Database-01,Critical,david,11.26.9.182,10.0.2.154,nan,nan,nan,False,nan,nan,9.6,CVE-2024-2201,Open,2026-09-05T15:46:29.722907+00:00
INC-0079,CORR-0099,EVT00247|EVT00253,2,Brute Force,65.25,High,High,2,AST002,Finance-PC-02,High,david,106.177.138.207,10.0.7.10,nan,nan,nan,False,nan,nan,5.2,CVE-2024-1045,Open,2026-09-05T15:46:29.722907+00:00
INC-0080,CORR-0101,EVT00250|EVT00256,2,Privilege Escalation,57.5,Moderate,Moderate,3,AST003,WebServer,High,alice,101.218.184.201,10.0.7.90,nan,nan,nan,False,nan,nan,2.3,CVE-2024-2201,Open,2026-09-05T15:46:29.722907+00:00
INC-0081,CORR-0102,EVT00255|EVT00260,2,File Access,67.75,High,High,2,AST002,Finance-PC-02,High,alex,49.210.177.135,10.0.7.89,nan,nan,nan,False,nan,nan,9.5,CVE-2024-1045,Open,2026-09-05T15:46:29.722907+00:00
INC-0082,CORR-0104,EVT00257|EVT00258|EVT00259|EVT00262|EVT00263,5,Login Success,60.0,Moderate,Moderate,3,AST005,Database-01,Critical,john,21.237.1.250,10.0.10.63,nan,nan,nan,False,nan,nan,1.8,CVE-2024-2201,Open,2026-09-05T15:46:29.723906+00:00
INC-0083,CORR-0106,EVT00265|EVT00268,2,Privilege Escalation,63.75,High,High,2,AST002,Finance-PC-02,High,alex,106.182.21.141,10.0.0.219,nan,nan,nan,False,nan,nan,9.3,CVE-2024-2201,Open,2026-09-05T15:46:29.723906+00:00
INC-0084,CORR-0107,EVT00264|EVT00266|EVT00270|EVT00272,4,Malware Detection,68.75,High,High,2,AST005,Database-01,Critical,admin,137.29.79.221,10.0.8.24,nan,nan,nan,False,nan,nan,3.3,CVE-2024-2201,Open,2026-09-05T15:46:29.723906+00:00
INC-0085,CORR-0108,EVT00269|EVT00273|EVT00274|EVT00275|EVT00277,5,Malware Detection,69.0,High,High,2,AST002,Finance-PC-02,High,alice,4.149.137.122,10.0.7.230,nan,nan,nan,False,nan,nan,6.9,CVE-2024-1045,Open,2026-09-05T15:46:29.724905+00:00
INC-0086,CORR-0109,EVT00271|EVT00276,2,Privilege Escalation,56.5,Moderate,Moderate,3,AST001,HR-PC-01,Medium,root,71.86.146.253,10.0.8.87,nan,nan,nan,False,nan,nan,3.8,CVE-2024-1045,Open,2026-09-05T15:46:29.724905+00:00
INC-0087,CORR-0110,EVT00278|EVT00279,2,File Access,37.5,Medium,Medium,4,AST002,Finance-PC-02,High,david,128.109.181.150,10.0.0.212,nan,nan,nan,False,nan,nan,1.3,nan,Open,2026-09-05T15:46:29.724905+00:00
INC-0088,CORR-0111,EVT00281|EVT00282|EVT00283|EVT00284,4,SQL Injection Attempt,66.5,High,High,2,AST005,Database-01,Critical,john,164.243.89.215,10.0.10.239,nan,nan,nan,False,nan,nan,2.1,CVE-2024-1045,Open,2026-09-05T15:46:29.724905+00:00
INC-0089,CORR-0112,EVT00280|EVT00285|EVT00291,3,Failed Login,59.85,Moderate,Moderate,3,AST002,Finance-PC-02,High,admin,223.104.162.41,10.0.2.85,T1110,Brute Force,Credential Access,False,nan,nan,8.1,CVE-2023-1234,Open,2026-09-05T15:46:29.725905+00:00
INC-0090,CORR-0114,EVT00288|EVT00289,2,Failed Login,58.75,Moderate,Moderate,3,AST001,HR-PC-01,Medium,alice,1.100.187.167,10.0.10.44,T1110,Brute Force,Credential Access,False,nan,nan,5.5,CVE-2024-2201,Open,2026-09-05T15:46:29.725905+00:00
INC-0091,CORR-0115,EVT00290|EVT00292,2,Privilege Escalation,48.75,Moderate,Moderate,3,AST002,Finance-PC-02,High,john,137.61.153.134,10.0.1.198,nan,nan,nan,False,nan,nan,9.6,nan,Open,2026-09-05T15:46:29.725905+00:00
INC-0092,CORR-0116,EVT00287|EVT00293|EVT00296,3,Brute Force,63.75,High,High,2,AST003,WebServer,High,root,103.180.42.10,10.0.8.117,nan,nan,nan,False,nan,nan,8.8,CVE-2024-2201,Open,2026-09-05T15:46:29.726909+00:00
INC-0093,CORR-0117,EVT00294|EVT00298,2,Malware Detection,63.75,High,High,2,AST003,WebServer,High,alice,184.196.99.78,10.0.4.169,nan,nan,nan,False,nan,nan,3.0,CVE-2024-2201,Open,2026-09-05T15:46:29.726909+00:00
INC-0094,CORR-0118,EVT00295|EVT00300|EVT00302,3,USB Device Connected,62.75,High,High,2,AST005,Database-01,Critical,admin,168.218.210.7,10.0.4.154,nan,nan,nan,False,nan,nan,5.4,CVE-2024-1045,Open,2026-09-05T15:46:29.726909+00:00
INC-0095,CORR-0119,EVT00297|EVT00301,2,Failed Login,50.25,Moderate,Moderate,3,AST002,Finance-PC-02,High,root,42.154.211.134,10.0.2.21,T1110,Brute Force,Credential Access,False,nan,nan,7.8,CVE-2024-1045,Open,2026-09-05T15:46:29.728147+00:00
INC-0096,CORR-0120,EVT00299|EVT00303|EVT00305|EVT00309,4,USB Device Connected,47.5,Moderate,Moderate,3,AST001,HR-PC-01,Medium,alice,211.142.61.173,10.0.5.9,nan,nan,nan,False,nan,nan,0.2,CVE-2024-2201,Open,2026-09-05T15:46:29.728147+00:00
INC-0097,CORR-0122,EVT00304|EVT00306|EVT00307|EVT00310|EVT00312|EVT00315,6,Brute Force,75.25,High,High,2,AST005,Database-01,Critical,david,98.62.56.201,10.0.5.37,nan,nan,nan,False,nan,nan,8.5,CVE-2024-1045,Open,2026-09-05T15:46:29.728147+00:00
INC-0098,CORR-0124,EVT00311|EVT00316|EVT00317,3,Brute Force,49.85,Moderate,Moderate,3,AST001,HR-PC-01,Medium,alex,222.87.144.89,10.0.3.166,nan,nan,nan,False,nan,nan,4.6,CVE-2023-1234,Open,2026-09-05T15:46:29.728147+00:00
INC-0099,CORR-0125,EVT00314|EVT00319,2,File Access,43.75,Moderate,Moderate,3,AST004,Firewall,Critical,root,109.111.75.1,10.0.8.174,nan,nan,nan,False,nan,nan,6.8,nan,Open,2026-09-05T15:46:29.729159+00:00
